"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2206","TC-002 - Validate warnings for fields with invalid data","webkit","2026-01-05","failed","2026-01-05","Complete the form","form.spec.ts","",""
"","1073","TC-003 - Complete the Email field with incorrect values","webkit","2026-01-05","failed","2026-01-05","Complete the form","form.spec.ts","",""
"","30171","TC-001 - Should submit form successfully with valid data","chromium","2026-01-05","broken","2026-01-05","Complete the form","form.spec.ts","",""
"","25353","TC-002 - Validate warnings for fields with invalid data","firefox","2026-01-05","passed","2026-01-05","Complete the form","form.spec.ts","",""
"","58","TC-001 - Create Pet (POST): Cat Beta","chromium","2026-01-28","passed","2026-01-28","Pet API - CRUD","api/petstore.spec.ts","",""
"","21162","TC-002 - Validate warnings for fields with invalid data","chromium","2026-01-05","passed","2026-01-05","Complete the form","form.spec.ts","",""
"","262","TC-001 - Create Pet (POST): Dog Alpha","chromium","2026-01-28","passed","2026-01-28","Pet API - CRUD","api/petstore.spec.ts","",""
"","16912","TC-003 - Complete the Email field with incorrect values","chromium","2026-01-05","passed","2026-01-05","Complete the form","form.spec.ts","",""
"","2785","TC-001 - Should submit form successfully with valid data","webkit","2026-01-05","failed","2026-01-05","Complete the form","form.spec.ts","",""
"","30578","TC-001 - Should submit form successfully with valid data","firefox","2026-01-05","broken","2026-01-05","Complete the form","form.spec.ts","",""
"","87","TC-002 - Get Pet by ID (GET)","chromium","2026-01-28","passed","2026-01-28","Pet API - CRUD","api/petstore.spec.ts","",""
"","60","TC-003 - Update pet (PUT)","chromium","2026-01-28","passed","2026-01-28","Pet API - CRUD","api/petstore.spec.ts","",""
"","17476","TC-003 - Complete the Email field with incorrect values","firefox","2026-01-05","passed","2026-01-05","Complete the form","form.spec.ts","",""
